A,B,_LANES,_FT,_ROUTENUM,_ROUTEDIR
1826,1874,4,2,24,E
1832,1822,4,2,24,E
1833,2072,5,2,24,E
1835,1833,4,2,24,E
1836,1835,4,2,24,E
1837,1836,4,2,24,E
1864,1888,6,2,24,E
1866,1864,4,2,24,E
1874,1866,5,2,24,E
1886,1885,2,1,24,E
1888,1886,3,1,24,E
1888,1952,3,1,24,E
1952,1950,3,1,24,E
2072,2091,4,2,24,E
2091,1832,4,2,24,E
2566,1837,4,2,24,E
2672,2996,4,2,24,E
2674,2672,4,2,24,E
2680,2674,4,2,24,E
2706,2680,4,2,24,E
2710,2706,4,2,24,E
2728,2710,3,2,24,E
2993,3022,4,2,24,E
2996,2993,4,2,24,E
3015,2566,4,2,24,E
3022,3015,4,2,24,E
1847,1849,4,2,24,W
1849,1852,5,2,24,W
1850,2208,5,2,24,W
1852,1854,4,2,24,W
1854,2565,4,2,24,W
1897,1850,4,2,24,W
1898,1899,4,2,24,W
1899,1911,5,2,24,W
1911,2376,4,2,24,W
1915,1898,6,2,24,W
1916,1915,3,1,24,W
1917,1915,3,1,24,W
1949,1916,3,1,24,W
2114,1847,5,2,24,W
2208,2114,5,2,24,W
2376,1897,4,2,24,W
2565,3021,4,2,24,W
2673,2675,4,2,24,W
2675,2681,4,2,24,W
2681,2705,4,2,24,W
2705,2709,4,2,24,W
2709,2727,3,2,24,W
2987,2995,5,2,24,W
2995,2673,4,2,24,W
3013,2987,4,2,24,W
3021,3013,4,2,24,W
4159,20365,1,3,25,N
4160,4159,1,3,25,N
11580,4160,1,3,25,N
20365,20367,1,3,25,N
4159,4160,1,3,25,S
4160,11580,1,3,25,S
20365,4159,1,3,25,S
20367,20365,1,3,25,S
8601,8602,2,7,29,N
8602,8603,2,7,29,N
8603,8605,2,7,29,N
8605,8606,1,4,29,N
8606,8608,2,4,29,N
8613,10357,2,7,29,N
8614,8613,2,7,29,N
8615,8614,2,7,29,N
8616,8615,2,7,29,N
8617,8616,2,7,29,N
8642,8663,2,2,29,N
8644,8742,2,3,29,N
8654,8655,2,2,29,N
8655,8656,2,2,29,N
8656,8657,2,2,29,N
8657,8658,2,2,29,N
8658,8681,2,2,29,N
8663,8654,2,2,29,N
8675,15855,2,3,29,N
8681,8683,2,2,29,N
8683,8644,2,2,29,N
8704,11433,2,3,29,N
8742,8743,2,3,29,N
8743,8750,2,3,29,N
8750,8704,2,3,29,N
8760,8677,2,2,29,N
10357,10358,2,7,29,N
10358,10359,2,7,29,N
10359,8601,2,7,29,N
11018,11033,2,3,29,N
11029,11784,2,3,29,N
11033,11736,2,3,29,N
11091,11649,2,7,29,N
11111,11029,2,3,29,N
11112,11111,2,3,29,N
11433,11434,2,3,29,N
11434,8617,2,3,29,N
11642,11644,1,5,29,N
11644,11651,2,7,29,N
11649,11656,2,7,29,N
11650,11091,2,7,29,N
11651,11650,2,7,29,N
11656,11709,2,7,29,N
11709,11710,2,7,29,N
11710,11985,2,7,29,N
11711,11715,2,7,29,N
11715,11721,2,7,29,N
11721,11733,2,3,29,N
11733,11018,2,3,29,N
11736,11112,2,3,29,N
11784,8675,2,3,29,N
11985,11711,2,7,29,N
15855,8760,2,3,29,N
8601,10359,2,7,29,S
8602,8601,2,7,29,S
8603,8602,2,7,29,S
8605,8603,2,7,29,S
8606,8605,1,4,29,S
8608,8606,2,4,29,S
8613,8614,2,7,29,S
8614,8615,2,7,29,S
8615,8616,2,7,29,S
8616,8617,2,7,29,S
8617,11434,2,3,29,S
8629,8642,2,2,29,S
8635,8629,2,2,29,S
8636,8635,2,2,29,S
8644,8670,2,2,29,S
8670,8682,2,2,29,S
8675,11784,2,3,29,S
8677,8760,2,2,29,S
8682,8684,2,2,29,S
8684,8685,2,2,29,S
8685,8686,2,2,29,S
8686,8636,2,2,29,S
8704,8750,2,3,29,S
8742,8644,2,3,29,S
8743,8742,2,3,29,S
8750,8743,2,3,29,S
8760,15855,2,3,29,S
10357,8613,2,7,29,S
10358,10357,2,7,29,S
10359,10358,2,7,29,S
11018,11733,2,3,29,S
11029,11111,2,3,29,S
11033,11018,2,3,29,S
11091,11650,2,7,29,S
11111,11112,2,3,29,S
11112,11736,2,3,29,S
11433,8704,2,3,29,S
11434,11433,2,3,29,S
11644,11643,1,5,29,S
11649,11091,2,7,29,S
11650,11651,2,7,29,S
11651,11644,2,7,29,S
11656,11649,2,7,29,S
11709,11656,2,7,29,S
11710,11709,2,7,29,S
11711,11985,2,7,29,S
11715,11711,2,7,29,S
11721,11715,2,7,29,S
11733,11721,2,3,29,S
11736,11033,2,3,29,S
11784,11029,2,3,29,S
11985,11710,2,7,29,S
15855,8675,2,3,29,S
4286,4637,1,4,35,N
4287,4286,1,4,35,N
4637,4638,1,4,35,N
4638,10511,1,4,35,N
6218,6253,1,7,35,N
6219,6228,1,7,35,N
6222,2609,1,4,35,N
6228,6218,1,7,35,N
6372,6628,2,7,35,N
6443,6647,2,5,35,N
6466,6620,2,7,35,N
6467,6466,2,7,35,N
6501,6467,1,7,35,N
6506,6501,1,7,35,N
6620,6372,2,7,35,N
6627,6672,2,2,35,N
6628,6627,2,7,35,N
6647,6506,1,7,35,N
6653,6678,3,3,35,N
6656,6676,3,3,35,N
6672,6684,2,2,35,N
6676,6653,3,3,35,N
6678,6912,3,3,35,N
6684,6656,2,2,35,N
6909,7265,2,7,35,N
6910,6909,2,7,35,N
6911,6910,2,7,35,N
6912,6911,2,3,35,N
7254,7248,3,7,35,N
7264,7254,3,7,35,N
7265,7264,3,7,35,N
10511,11776,1,4,35,N
11776,6222,1,4,35,N
2609,6222,1,4,35,S
4286,4287,1,4,35,S
4637,4286,1,4,35,S
4638,4637,1,4,35,S
6218,6228,1,7,35,S
6222,11776,1,4,35,S
6228,6219,1,7,35,S
6253,6218,1,7,35,S
6372,6620,2,7,35,S
6459,6627,2,2,35,S
6466,6467,2,7,35,S
6467,6501,1,7,35,S
6501,6506,1,7,35,S
6506,6647,1,7,35,S
6620,6466,2,7,35,S
6627,6628,2,7,35,S
6628,6372,2,7,35,S
6647,6232,2,5,35,S
6653,6676,3,3,35,S
6655,6459,2,2,35,S
6656,6655,2,2,35,S
6676,6656,3,3,35,S
6678,6653,3,3,35,S
6909,6910,2,7,35,S
6910,6911,2,7,35,S
6911,6912,2,3,35,S
6912,6678,3,3,35,S
7248,7254,3,7,35,S
7254,7264,3,7,35,S
7264,7265,3,7,35,S
7265,6909,2,7,35,S
10511,4638,1,4,35,S
11776,10511,1,4,35,S
8003,8037,2,2,37,E
8037,8039,2,2,37,E
8039,8236,2,2,37,E
8231,8279,2,3,37,E
8236,8231,2,2,37,E
8279,11739,1,3,37,E
11032,11120,2,2,37,E
11109,11110,2,2,37,E
11110,11741,2,2,37,E
11119,11121,2,2,37,E
11120,11119,2,2,37,E
11121,20518,2,2,37,E
11717,11032,2,2,37,E
11726,11109,2,2,37,E
11739,11726,1,3,37,E
11741,11717,2,2,37,E
20518,20519,2,2,37,E
20519,11767,2,2,37,E
8038,8062,2,2,37,W
8060,8038,2,2,37,W
8231,8237,2,2,37,W
8237,8060,2,2,37,W
8279,8231,2,3,37,W
11108,11740,2,2,37,W
11113,11115,2,2,37,W
11115,11108,2,2,37,W
11726,11739,1,3,37,W
11738,11726,2,2,37,W
11739,8279,1,3,37,W
11740,11738,2,2,37,W
20516,20520,2,2,37,W
20520,20521,2,2,37,W
20521,11113,2,2,37,W
3232,3233,2,7,61,N
3233,3234,2,7,61,N
3245,3232,2,7,61,N
3252,3265,2,7,61,N
3253,3245,2,7,61,N
3254,3253,2,7,61,N
3256,3259,2,4,61,N
3257,3256,2,7,61,N
3258,3257,2,7,61,N
3259,3254,2,4,61,N
3265,3258,2,7,61,N
3270,3252,2,3,61,N
3274,12212,2,3,61,N
3282,3274,2,3,61,N
12212,3270,2,3,61,N
3232,3245,2,7,61,S
3233,3232,2,7,61,S
3234,3233,2,7,61,S
3245,3253,2,7,61,S
3252,3270,2,3,61,S
3253,3254,2,7,61,S
3254,3259,2,4,61,S
3256,3257,2,7,61,S
3257,3258,2,7,61,S
3258,3265,2,7,61,S
3259,3256,2,4,61,S
3265,3252,2,3,61,S
3270,12212,2,3,61,S
3274,3282,2,3,61,S
12212,3274,2,3,61,S
3180,3197,2,7,77,N
3308,3180,2,7,77,N
3180,3308,2,7,77,S
3197,3180,2,7,77,S
1603,11944,4,2,80,E
1912,2488,3,8,80,E
1913,1912,3,8,80,E
1930,2326,4,8,80,E
2115,2116,3,8,80,E
2116,2174,3,8,80,E
2174,2175,3,8,80,E
2175,2178,3,8,80,E
2178,2180,4,2,80,E
2180,2206,7,6,80,E
2206,11637,4,2,80,E
2210,2115,3,8,80,E
2219,20512,3,8,80,E
2220,2224,3,8,80,E
2224,2210,3,8,80,E
2257,2261,3,8,80,E
2261,2265,3,8,80,E
2265,2287,3,8,80,E
2278,2288,3,8,80,E
2281,2278,3,8,80,E
2284,2285,3,8,80,E
2285,2281,4,8,80,E
2287,2284,3,8,80,E
2288,2290,3,8,80,E
2290,2291,4,8,80,E
2291,2219,3,8,80,E
2326,2396,3,8,80,E
2396,2397,3,8,80,E
2397,2257,3,8,80,E
2419,2420,3,8,80,E
2420,2422,3,8,80,E
2422,2424,3,8,80,E
2424,2425,3,8,80,E
2425,1930,3,8,80,E
2482,1913,3,8,80,E
2488,2419,3,8,80,E
2505,2508,4,8,80,E
2508,2511,4,8,80,E
2511,2513,4,8,80,E
2513,2515,4,8,80,E
2515,2482,5,8,80,E
2632,2634,5,8,80,E
2634,2636,4,8,80,E
2636,2505,4,8,80,E
2766,2778,2,8,80,E
2778,2632,6,8,80,E
2784,2802,5,2,80,E
2787,2766,6,8,80,E
2789,2800,2,2,80,E
2802,2787,6,2,80,E
6969,6973,5,2,80,E
6971,6969,5,2,80,E
6973,2784,5,2,80,E
7017,6971,5,2,80,E
7020,7017,3,2,80,E
7022,7020,3,2,80,E
7030,7022,4,2,80,E
7034,7030,3,2,80,E
7039,7034,4,2,80,E
7082,7039,3,2,80,E
8671,11807,4,2,80,E
8932,9518,1,8,80,E
8934,8932,1,8,80,E
8936,8934,1,8,80,E
8938,8936,1,8,80,E
8940,8938,1,8,80,E
8942,8940,1,8,80,E
8944,8942,1,8,80,E
8946,20023,1,8,80,E
8948,8946,1,8,80,E
8950,8948,1,8,80,E
8952,8950,1,8,80,E
8954,8952,1,8,80,E
8956,8954,1,8,80,E
8958,8956,1,8,80,E
8960,8958,1,8,80,E
8962,8960,1,8,80,E
8964,8962,1,8,80,E
8966,8964,1,8,80,E
8968,8966,1,8,80,E
8970,8968,1,8,80,E
8972,8970,1,8,80,E
8974,20022,1,8,80,E
8975,8974,1,8,80,E
8976,8975,1,8,80,E
8978,8976,1,8,80,E
8980,8978,1,8,80,E
8982,8980,1,8,80,E
8984,8982,1,8,80,E
8986,8984,1,8,80,E
8988,8986,1,8,80,E
8990,8988,1,8,80,E
8992,8990,1,8,80,E
8994,8992,1,8,80,E
8995,8994,1,8,80,E
9219,9520,1,8,80,E
9286,9290,1,2,80,E
9288,9286,1,2,80,E
9290,20003,1,2,80,E
9292,20005,1,2,80,E
9295,20006,1,2,80,E
9297,9299,1,2,80,E
9344,9345,1,2,80,E
9518,9519,1,8,80,E
9519,9219,1,8,80,E
9520,9521,1,8,80,E
9521,9522,1,8,80,E
9522,9523,1,8,80,E
9523,9344,1,2,80,E
9973,20362,1,2,80,E
9974,9973,1,2,80,E
9978,9979,1,2,80,E
9979,9980,1,2,80,E
9980,9974,1,2,80,E
11063,11810,4,2,80,E
11065,11063,4,2,80,E
11636,11685,3,2,80,E
11637,11642,4,2,80,E
11642,11636,3,2,80,E
11645,11669,3,2,80,E
11669,11671,3,2,80,E
11671,11672,3,2,80,E
11672,11674,3,2,80,E
11674,11757,3,2,80,E
11685,11645,3,2,80,E
11722,11727,4,2,80,E
11727,12206,4,2,80,E
11731,11732,4,2,80,E
11732,11992,4,2,80,E
11757,11758,3,2,80,E
11758,11760,3,2,80,E
11760,11762,3,2,80,E
11762,11765,4,2,80,E
11765,11769,5,2,80,E
11769,8671,4,2,80,E
11785,11786,3,2,80,E
11786,11959,3,2,80,E
11807,11065,4,2,80,E
11810,11815,5,2,80,E
11815,11820,5,2,80,E
11820,20360,5,2,80,E
11830,11858,4,2,80,E
11838,11869,4,2,80,E
11846,11849,4,2,80,E
11849,11851,4,2,80,E
11851,11722,4,2,80,E
11858,11859,5,2,80,E
11859,11838,4,2,80,E
11869,11871,6,2,80,E
11871,11879,6,2,80,E
11872,11846,4,2,80,E
11878,11872,5,2,80,E
11879,11878,5,2,80,E
11903,11933,3,2,80,E
11909,11912,3,2,80,E
11912,20387,3,2,80,E
11913,11916,3,2,80,E
11916,11919,4,2,80,E
11923,11903,3,2,80,E
11933,11909,3,2,80,E
11941,11785,4,2,80,E
11944,11946,4,2,80,E
11946,11948,4,2,80,E
11948,11960,4,2,80,E
11959,11923,3,2,80,E
11960,11941,4,2,80,E
11987,11990,4,2,80,E
11990,11731,4,2,80,E
11992,11994,4,2,80,E
11994,1603,4,2,80,E
12206,12207,4,2,80,E
12207,11987,4,2,80,E
20003,9292,1,2,80,E
20005,9295,1,2,80,E
20006,9297,1,2,80,E
20022,8972,1,8,80,E
20023,8944,1,8,80,E
20360,11830,5,2,80,E
20362,9288,1,2,80,E
20387,20391,3,2,80,E
20391,11913,3,2,80,E
20512,2220,3,8,80,E
1602,11993,4,2,80,W
1914,2483,3,8,80,W
1929,2324,3,8,80,W
1983,2307,3,8,80,W
2176,2227,3,8,80,W
2179,2176,3,8,80,W
2211,2221,3,8,80,W
2212,2211,3,8,80,W
2215,2238,3,8,80,W
2216,2215,3,8,80,W
2218,2216,3,8,80,W
2221,2222,3,8,80,W
2222,2218,4,8,80,W
2226,2212,3,8,80,W
2227,2226,3,8,80,W
2238,2275,3,8,80,W
2243,2266,3,8,80,W
2251,2243,3,8,80,W
2256,15972,3,8,80,W
2258,1983,3,8,80,W
2260,2258,3,8,80,W
2266,2256,4,8,80,W
2275,2251,3,8,80,W
2306,2327,3,8,80,W
2307,2306,3,8,80,W
2318,2487,3,8,80,W
2320,2318,3,8,80,W
2321,2320,3,8,80,W
2323,2321,3,8,80,W
2324,2323,3,8,80,W
2327,1929,3,8,80,W
2483,2516,5,8,80,W
2487,1914,3,8,80,W
2506,2637,4,8,80,W
2509,2506,4,8,80,W
2512,2509,4,8,80,W
2514,2512,4,8,80,W
2516,2514,4,8,80,W
2631,2764,5,8,80,W
2633,2631,4,8,80,W
2637,2633,4,8,80,W
2764,2779,3,8,80,W
2774,2788,6,8,80,W
2779,2774,6,8,80,W
2783,6972,5,2,80,W
2786,2803,7,2,80,W
2788,2786,7,2,80,W
2798,2799,2,2,80,W
2803,2783,5,2,80,W
6968,6970,5,2,80,W
6970,7016,5,2,80,W
6972,6968,5,2,80,W
7016,7019,4,2,80,W
7019,7025,3,2,80,W
7025,7028,4,2,80,W
7028,7033,3,2,80,W
7033,7040,4,2,80,W
7040,7080,3,2,80,W
8672,11768,4,2,80,W
8931,8933,1,8,80,W
8933,9217,1,8,80,W
8937,8939,1,8,80,W
8939,8941,1,8,80,W
8941,20009,1,8,80,W
8943,20011,1,8,80,W
8947,20012,1,8,80,W
8949,20013,1,8,80,W
8953,20014,1,8,80,W
8957,8959,1,8,80,W
8959,8961,1,8,80,W
8961,20015,1,8,80,W
8965,20016,1,8,80,W
8969,20017,1,8,80,W
8973,20018,1,8,80,W
8977,8979,1,8,80,W
8979,20019,1,8,80,W
8983,20020,1,8,80,W
8987,20021,1,8,80,W
8991,8993,1,8,80,W
8993,9863,1,8,80,W
8997,8931,1,8,80,W
9217,8937,1,8,80,W
9218,9220,1,8,80,W
9220,8997,1,8,80,W
9221,9218,1,8,80,W
9223,9221,1,8,80,W
9225,20010,1,8,80,W
9285,9225,1,2,80,W
9287,9972,1,2,80,W
9289,20361,1,2,80,W
9291,9289,1,2,80,W
9293,20002,1,2,80,W
9294,20004,1,2,80,W
9296,20007,1,2,80,W
9298,20008,1,2,80,W
9506,9285,1,2,80,W
9861,9865,2,8,80,W
9863,9861,1,8,80,W
9865,9867,3,2,80,W
9867,9869,3,2,80,W
9972,9975,1,2,80,W
9975,9976,1,2,80,W
9976,9977,1,2,80,W
11064,11066,4,2,80,W
11066,11808,4,2,80,W
11634,2179,3,2,80,W
11643,11667,3,2,80,W
11646,11686,3,2,80,W
11667,11634,3,2,80,W
11684,11643,3,2,80,W
11686,11684,3,2,80,W
11687,11646,3,2,80,W
11688,11687,3,2,80,W
11690,11688,3,2,80,W
11692,11690,3,2,80,W
11694,11692,3,2,80,W
11695,11694,3,2,80,W
11723,11850,4,2,80,W
11728,11723,4,2,80,W
11742,11743,4,2,80,W
11743,11989,4,2,80,W
11751,11752,4,2,80,W
11752,11961,4,2,80,W
11761,11695,3,2,80,W
11764,11766,4,2,80,W
11766,11761,4,2,80,W
11768,11764,5,2,80,W
11808,8672,4,2,80,W
11811,11064,4,2,80,W
11813,11811,4,2,80,W
11819,11813,4,2,80,W
11829,20359,5,2,80,W
11837,11857,5,2,80,W
11840,11841,4,2,80,W
11841,11837,4,2,80,W
11844,11840,4,2,80,W
11845,11847,4,2,80,W
11847,11865,4,2,80,W
11848,11845,4,2,80,W
11850,11848,4,2,80,W
11857,11829,5,2,80,W
11865,11866,4,2,80,W
11866,11844,5,2,80,W
11904,11924,3,2,80,W
11906,11904,3,2,80,W
11908,11906,3,2,80,W
11911,11908,3,2,80,W
11914,20390,3,2,80,W
11915,11914,3,2,80,W
11918,11915,4,2,80,W
11924,11958,3,2,80,W
11942,11947,4,2,80,W
11943,1602,4,2,80,W
11945,11943,4,2,80,W
11947,11945,4,2,80,W
11958,11751,4,2,80,W
11961,11942,4,2,80,W
11986,12204,4,2,80,W
11989,11986,4,2,80,W
11991,11742,4,2,80,W
11993,11991,4,2,80,W
12204,12205,4,2,80,W
12205,11728,4,2,80,W
15972,2260,3,8,80,W
20002,9291,1,2,80,W
20004,9293,1,2,80,W
20007,9294,1,2,80,W
20008,9296,1,2,80,W
20009,8943,1,8,80,W
20010,9223,1,8,80,W
20011,8947,1,8,80,W
20012,8949,1,8,80,W
20013,8953,1,8,80,W
20014,8957,1,8,80,W
20015,8965,1,8,80,W
20016,8969,1,8,80,W
20017,8973,1,8,80,W
20018,8977,1,8,80,W
20019,8983,1,8,80,W
20020,8987,1,8,80,W
20021,8991,1,8,80,W
20359,11819,5,2,80,W
20361,9287,1,2,80,W
20386,11911,3,2,80,W
20390,20386,3,2,80,W
5051,5885,3,7,82,N
5088,5184,2,7,82,N
5104,5293,2,7,82,N
5106,5104,2,7,82,N
5109,5106,2,7,82,N
5110,5109,3,7,82,N
5111,5110,2,7,82,N
5112,5111,2,7,82,N
5113,5112,2,7,82,N
5184,5113,2,7,82,N
5293,5299,2,7,82,N
5296,5336,3,7,82,N
5299,5296,3,7,82,N
5334,12560,3,7,82,N
5335,5334,3,7,82,N
5336,5335,3,7,82,N
5352,5633,3,7,82,N
5389,5411,3,7,82,N
5404,5408,3,7,82,N
5408,5429,3,7,82,N
5411,5404,3,7,82,N
5418,5422,3,7,82,N
5420,5549,3,7,82,N
5421,5420,3,7,82,N
5422,5421,2,7,82,N
5429,5418,3,7,82,N
5480,5618,3,7,82,N
5481,5480,3,7,82,N
5482,5484,3,7,82,N
5484,5481,3,7,82,N
5527,5569,2,7,82,N
5549,5482,3,7,82,N
5569,5632,3,7,82,N
5614,12611,3,7,82,N
5615,5849,3,7,82,N
5618,5527,3,7,82,N
5632,5352,3,7,82,N
5633,5634,3,7,82,N
5634,5642,3,7,82,N
5635,5614,3,7,82,N
5642,5635,3,7,82,N
5848,12644,3,7,82,N
5849,5848,3,7,82,N
5884,5051,3,7,82,N
5885,5983,3,7,82,N
5888,5884,3,7,82,N
5891,12649,3,7,82,N
5894,12638,3,7,82,N
5976,6018,2,7,82,N
5983,5976,3,7,82,N
5992,6097,3,7,82,N
6005,6011,3,7,82,N
6011,6125,2,7,82,N
6018,5992,2,7,82,N
6097,6005,3,7,82,N
6125,6126,2,7,82,N
6126,6127,2,7,82,N
6127,6129,2,7,82,N
6129,13024,2,7,82,N
6134,6136,2,7,82,N
6135,6313,2,7,82,N
6136,6135,2,7,82,N
6164,6172,2,7,82,N
6165,6164,2,7,82,N
6169,6165,2,7,82,N
6172,6186,2,7,82,N
6176,6169,2,7,82,N
6186,13008,2,7,82,N
6236,6543,2,7,82,N
6302,6309,3,7,82,N
6309,13034,3,7,82,N
6310,6414,2,7,82,N
6313,6176,2,7,82,N
6329,6310,2,7,82,N
6354,6302,3,7,82,N
6364,6689,3,7,82,N
6366,13043,3,7,82,N
6367,6366,2,7,82,N
6412,6415,2,7,82,N
6414,6412,2,7,82,N
6415,6236,2,7,82,N
6425,6535,3,7,82,N
6476,6614,3,7,82,N
6482,6486,3,7,82,N
6484,6590,3,7,82,N
6486,6489,3,7,82,N
6489,6484,1,7,82,N
6511,6482,3,7,82,N
6512,6511,3,7,82,N
6529,6532,3,7,82,N
6531,6529,3,7,82,N
6532,6619,3,7,82,N
6535,6531,3,7,82,N
6543,6547,2,7,82,N
6544,6425,2,7,82,N
6547,6544,2,7,82,N
6590,6476,2,7,82,N
6614,6615,3,7,82,N
6615,6631,3,7,82,N
6619,6512,3,7,82,N
6631,6632,2,7,82,N
6632,6699,3,7,82,N
6638,6692,3,7,82,N
6689,6354,3,7,82,N
6692,6705,2,7,82,N
6699,6713,3,7,82,N
6701,6703,2,7,82,N
6703,6851,2,7,82,N
6705,6701,2,7,82,N
6713,6638,3,7,82,N
6843,6882,2,7,82,N
6851,6843,2,7,82,N
6882,6879,2,7,82,N
12560,5389,3,7,82,N
12611,5615,3,7,82,N
12638,5891,3,7,82,N
12644,5894,3,7,82,N
12649,5888,3,7,82,N
13008,6367,2,7,82,N
13024,6134,2,7,82,N
13034,6329,3,7,82,N
13043,6364,3,7,82,N
5051,5884,3,7,82,S
5104,5106,2,7,82,S
5106,5109,2,7,82,S
5109,5110,3,7,82,S
5110,5111,2,7,82,S
5111,5112,2,7,82,S
5112,5113,2,7,82,S
5113,5184,2,7,82,S
5184,5088,2,7,82,S
5293,5104,2,7,82,S
5296,5299,3,7,82,S
5299,5293,2,7,82,S
5334,5335,3,7,82,S
